date,avg_difangle,var_difangle,avgdis,vardis,decardis,movdistr_mean_a,movdistr_var_a,movdistr_mean_b,movdistr_var_b,motionsync_a_1,motionsync_a_2,motionsync_a_3,motionsync_a_4,motion_reaction_a,motion_reaction_b,varpos_a,varpos_b,M_1,M_2,M_3,M_4,M_5,M_6,PP_M_1,PP_M_2,PP_M_3,PP_M_4,PP_M_5,PP_M_6
11282111_M,137.3087929566964,745.0764960720754,183.76274133685087,211.4482296989773,2.5349037747649277,63.01170928667564,47.9587761534166,25.936289035787553,22.495786109901047,3169, 872, 271, 158,18.438347820585857,5.60258625276232,252.2167800717437,44.23189391845651,0,0,2,1,1,1,0,0,4,6,1,1
11282111_F,124.52456016868649,77.2776052966425,193.53331816705403,61.24142591649974,2.5349037747649277,25.936289035787553,22.495786109901047,63.01170928667564,47.9587761534166,4220, 137,  46,  67,5.60258625276232,18.438347820585857,44.23189391845651,252.2167800717437,0,0,4,6,1,1,0,0,2,1,1,1
11212114_F,160.96840822294527,6.664048035094625,146.67445983846574,109.84949776096657,6.386353113432278,39.74087591240876,34.19437294390679,17.026221021832097,26.636175857982593,4106, 244,  90,  30,10.12841659421251,3.6609181465904133,83.94286568569483,9.96144846008277,0,0,2,2,1,1,0,1,6,6,6,4
11212114_M,111.9367739068285,52.919741480120614,210.2209000997307,24.533161259050072,6.386353113432278,17.026221021832097,26.636175857982593,39.74087591240876,34.19437294390679,4335,  86,  42,   7,3.6609181465904133,10.12841659421251,9.96144846008277,83.94286568569483,0,1,6,6,6,4,0,0,2,2,1,1
11402109_M,177.40032897304496,5.510986682210479,182.27154573574944,44.586948433938176,12.48387315925487,32.47264645543652,29.709645422516804,41.25178942507504,31.824255388610002,3958, 324, 133,  55,6.895573995352245,8.494739161868456,60.4887541301661,55.04795276215489,0,1,6,6,2,1,0,1,7,7,1,1
11402109_F,156.36222034964945,9.166796428743291,173.62181345578801,62.77922565687779,12.48387315925487,41.25178942507504,31.824255388610002,32.47264645543652,29.709645422516804,4140, 245,  58,  27,8.494739161868456,6.895573995352245,55.04795276215489,60.4887541301661,0,1,7,7,1,1,0,1,6,6,2,1
11252113_M,170.1591313082226,17.549810252769397,129.07519286556055,18.361253385009288,-1.7059548382151775,31.92361887720868,33.975716148754664,40.46489241223103,36.54323850565333,3392, 687, 339,  52,5.6625156766594404,7.424357736930719,22.019616545956303,25.657945438352826,0,0,4,5,2,2,0,0,4,6,1,3
11252113_F,178.6273148470439,1.9603441319129085,196.70077096475006,26.24670187293525,-1.7059548382151775,40.46489241223103,36.54323850565333,31.92361887720868,33.975716148754664,2427,1461, 460, 122,7.424357736930719,5.6625156766594404,25.657945438352826,22.019616545956303,0,0,4,6,1,3,0,0,4,5,2,2
11322114_F,176.6948446808631,6.191270316028575,178.78191908827836,198.04540711228643,39.86468321816079,46.53208044050754,40.13774374426508,2.664102564102564,11.662928726047172,3369, 739, 287,  75,10.395553018230627,0.48631174346831857,183.5237461409105,7.087491593567424,0,1,2,2,2,2,0,1,6,6,6,6
11322114_M,172.18370570072005,2.1480910513007636,115.08948285864346,0.17760199668592994,39.86468321816079,2.664102564102564,11.662928726047172,46.53208044050754,40.13774374426508,4342,  87,  15,  26,0.48631174346831857,10.395553018230627,7.087491593567424,183.5237461409105,0,1,6,6,6,6,0,1,2,2,2,2
11212111_F,166.13805503947947,5.31866491777148,198.50295405312082,156.71723218461167,31.16452867723035,33.688981711447276,30.6068922296063,19.64158701933763,22.356249988573833,3813, 479, 121,  57,6.259427231204404,3.2813172709781595,164.58001184991144,10.099976546785374,0,0,1,1,1,1,0,1,5,6,5,3
11212111_M,172.40579413648817,1.048178617762565,193.77344300111815,7.132787492408655,31.16452867723035,19.64158701933763,22.356249988573833,33.688981711447276,30.6068922296063,3779, 566,  94,  31,3.2813172709781595,6.259427231204404,10.099976546785374,164.58001184991144,0,1,5,6,5,3,0,0,1,1,1,1
11212102_F,174.29228015350347,2.2711312179707406,234.98815304063174,112.7745972193098,1.1561379040043107,39.007065091498724,33.603242541686804,26.78810115150147,25.27888422312576,3753, 502, 147,  68,8.328842367131873,5.114821202267929,96.97008331552755,45.216221449451425,0,0,1,1,1,1,0,0,2,6,1,4
11212102_M,161.10949428435745,23.368750073091675,101.96394667395721,49.600245337077126,1.1561379040043107,26.78810115150147,25.27888422312576,39.007065091498724,33.603242541686804,4244, 199,  21,   6,5.114821202267929,8.328842367131873,45.216221449451425,96.97008331552755,0,0,2,6,1,4,0,0,1,1,1,1
11372119_F,166.24374969296505,91.82731151359208,150.81839342088162,311.90553927750426,-9.10238142240189,58.577630822311676,44.30554505371315,23.643142920649034,31.583333589867195,3121,1067, 168, 114,20.582475248289164,3.967143149400755,231.36015590905885,22.656487232794262,0,1,4,6,2,3,0,0,3,6,2,2
11372119_M,174.2616488438232,0.41873623107312735,223.51823025568106,26.094076701687268,-9.10238142240189,23.643142920649034,31.583333589867195,58.577630822311676,44.30554505371315,2952,1070, 325, 123,3.967143149400755,20.582475248289164,22.656487232794262,231.36015590905885,0,0,3,6,2,2,0,1,4,6,2,3
11392109_F,172.73877237858014,2.4299522180563673,148.10809586480653,40.43860596794379,-11.788862843991865,29.9780553679946,31.742530672932016,47.202508128193216,39.31494751636627,3916, 425, 107,  22,5.501053798086413,9.346109533651852,39.99592671757706,80.42486730960599,0,0,4,5,1,1,0,1,4,3,5,3
11392109_M,177.59037991410486,4.383351378824287,185.74467436411476,68.38261203564073,-11.788862843991865,47.202508128193216,39.31494751636627,29.9780553679946,31.742530672932016,3528, 738, 158,  46,9.346109533651852,5.501053798086413,80.42486730960599,39.99592671757706,0,1,4,3,5,3,0,0,4,5,1,1
11282117_M,143.84643638196087,196.73666208537747,148.4420345284723,102.6290517145044,4.8539086640736855,52.44878910191726,46.0100365377684,45.35927923510664,41.718306167060845,3393, 747, 271,  59,14.24656392949729,12.000838535882979,152.1068167483903,111.50972190498659,0,1,6,4,5,5,0,1,4,4,3,3
11282117_F,167.58159903577214,17.59060450563808,162.9913349802504,120.92138802247231,4.8539086640736855,45.35927923510664,41.718306167060845,52.44878910191726,46.0100365377684,3968, 396,  49,  57,12.000838535882979,14.24656392949729,111.50972190498659,152.1068167483903,0,1,4,4,3,3,0,1,6,4,5,5
11232109_M,160.2344511095916,4.607506930181014,162.63328048084549,15.056080038633423,-2.0086283597408965,31.55099530306419,33.76556318542621,43.63190607734806,36.97847109526927,3077,1050, 272,  71,5.532345118548544,8.675400325906574,16.744037532955428,61.43021476554927,0,0,2,1,1,1,0,0,3,3,1,1
11232109_F,153.74984224673065,13.084423417038659,182.05109961458658,70.903795786551,-2.0086283597408965,43.63190607734806,36.97847109526927,31.55099530306419,33.76556318542621,3530, 702, 181,  57,8.675400325906574,5.532345118548544,61.43021476554927,16.744037532955428,0,0,3,3,1,1,0,0,2,1,1,1
11212118_F,173.89649762867543,4.590673786029139,192.01306100759814,58.07773582572418,-32.787242159092955,36.31460933888118,38.81711840954174,27.77892976588629,31.604002042778188,3931, 414,  65,  60,7.701017330178344,4.738583374307866,52.47497391273678,70.95636192276235,1,0,4,6,1,2,0,1,3,5,2,2
11212118_M,171.34295559440932,2.2055067463663227,178.32430095859726,73.33702096095473,-32.787242159092955,27.77892976588629,31.604002042778188,36.31460933888118,38.81711840954174,3667, 699,  79,  25,4.738583374307866,7.701017330178344,70.95636192276235,52.47497391273678,0,1,3,5,2,2,1,0,4,6,1,2
11372111_M,174.92806353906002,2.518113508585281,174.42050255191256,21.121622871601616,6.592901662878205,30.490352254879966,27.92370203877231,42.01400988933365,38.13657225981,4150, 233,  65,  22,5.524364113272323,9.380117795407072,31.002505008689607,13.118090290508219,0,1,4,5,5,1,0,1,4,5,3,3
