Date_ID,ID,Part_Num,Event,Group_size,Date_Order,M_1,M_2,M_3,M_4,M_5,M_6,Sex,PP_ID,PP_M_1,PP_M_2,PP_M_3,PP_M_4,PP_M_5,PP_M_6,PP_Sex
11212101,1121,21,1,32,9,1,0,5,5,2,2,1,2101,1,0,1,7,1,1,2
11212102,1121,21,1,32,3,0,0,2,6,1,4,1,2102,0,0,1,1,1,1,2
11212103,1121,21,1,32,5,1,1,7,7,5,5,1,2103,0,0,1,7,1,1,2
11212106,1121,21,1,32,7,1,1,7,7,5,4,1,2106,1,1,7,7,1,1,2
11212109,1121,21,1,32,8,1,1,6,7,2,2,1,2109,1,1,5,5,1,1,2
11212111,1121,21,1,32,14,0,1,5,6,5,3,1,2111,0,0,1,1,1,1,2
11212112,1121,21,1,32,6,0,1,2,5,6,3,1,2112,0,0,2,2,2,2,2
11212113,1121,21,1,32,2,0,1,5,6,3,4,1,2113,0,0,3,4,1,1,2
11212114,1121,21,1,32,4,0,1,6,6,6,4,1,2114,0,0,2,2,1,1,2
11212116,1121,21,1,32,11,0,1,6,6,7,2,1,2116,0,0,2,3,1,1,2
11212117,1121,21,1,32,13,0,1,5,6,7,3,1,2117,0,0,1,2,1,1,2
11212118,1121,21,1,32,12,0,1,3,5,2,2,1,2118,1,0,4,6,1,2,2
11212119,1121,21,1,32,10,0,1,4,5,4,3,1,2119,0,0,2,2,1,1,2
11212120,1121,21,1,32,1,0,1,5,6,5,2,1,2120,0,0,4,7,2,1,2
11222101,1122,22,1,32,3,0,0,4,5,2,3,1,2101,0,1,5,6,4,1,2
11222102,1122,22,1,32,13,0,0,1,1,1,1,1,2102,0,1,4,4,1,1,2
11222106,1122,22,1,32,1,0,1,5,6,5,2,1,2106,0,0,3,4,2,1,2
11222108,1122,22,1,32,10,0,1,6,1,6,1,1,2108,0,1,4,5,1,2,2
11222109,1122,22,1,32,2,0,0,3,2,2,1,1,2109,0,1,7,7,6,5,2
11222111,1122,22,1,32,8,0,1,5,2,6,2,1,2111,0,0,3,6,2,2,2
11222113,1122,22,1,32,12,0,0,3,2,1,1,1,2113,0,1,6,6,2,5,2
11222114,1122,22,1,32,14,0,1,6,5,7,4,1,2114,0,1,5,4,2,1,2
11222115,1122,22,1,32,9,0,1,6,5,6,4,1,2115,0,0,5,7,2,2,2
11222116,1122,22,1,32,5,0,1,6,4,7,3,1,2116,0,1,5,5,1,4,2
11222117,1122,22,1,32,7,0,1,5,6,3,3,1,2117,0,1,5,4,5,5,2
11222118,1122,22,1,32,6,0,0,3,2,2,2,1,2118,0,1,5,7,2,3,2
11222119,1122,22,1,32,4,0,0,2,5,2,2,1,2119,0,1,5,4,4,2,2
11222120,1122,22,1,32,11,0,1,6,6,5,4,1,2120,0,1,6,6,3,4,2
11232101,1123,23,1,32,14,0,1,5,6,2,2,1,2101,0,0,2,1,1,1,2
11232102,1123,23,1,32,8,0,0,1,2,1,1,1,2102,0,0,1,1,1,1,2
11232103,1123,23,1,32,10,0,1,4,6,5,3,1,2103,0,0,3,6,1,1,2
11232106,1123,23,1,32,12,0,1,3,2,3,1,1,2106,0,1,3,3,1,1,2
11232108,1123,23,1,32,5,0,0,4,4,3,4,1,2108,0,0,2,2,1,1,2
11232109,1123,23,1,32,13,0,0,2,1,1,1,1,2109,0,0,3,3,1,1,2
11232111,1123,23,1,32,3,0,0,1,5,1,2,1,2111,0,0,1,1,1,1,2
11232112,1123,23,1,32,11,0,1,5,3,5,3,1,2112,0,0,1,2,2,2,2
11232113,1123,23,1,32,7,0,0,1,4,1,1,1,2113,0,1,6,6,2,3,2
11232114,1123,23,1,32,9,0,1,4,6,3,3,1,2114,0,1,5,5,4,2,2
11232115,1123,23,1,32,4,0,0,3,3,2,3,1,2115,0,0,1,3,1,1,2
11232117,1123,23,1,32,2,0,0,3,6,3,2,1,2117,0,0,2,5,2,3,2
11232118,1123,23,1,32,1,0,0,1,2,1,1,1,2118,0,1,5,7,2,5,2
11232120,1123,23,1,32,6,0,0,3,5,2,2,1,2120,0,0,2,2,2,2,2
11242101,1124,24,1,32,1,0,1,3,5,4,4,1,2101,0,1,3,5,1,1,2
11242102,1124,24,1,32,11,0,1,4,5,3,3,1,2102,0,1,4,4,1,1,2
11242103,1124,24,1,32,13,0,1,6,5,5,6,1,2103,0,1,5,6,3,1,2
11242108,1124,24,1,32,8,0,1,4,4,6,5,1,2108,0,0,2,2,1,1,2
11242111,1124,24,1,32,6,0,0,4,3,4,3,1,2111,0,0,2,2,2,2,2
11242112,1124,24,1,32,14,0,1,4,3,6,4,1,2112,0,0,3,5,4,2,2
